terms,terms_counts,doc_counts,sentiment,tags
虫子,2,2,-3,e
儿,2,2,0,d
花,2,2,0,d
隔,2,2,0,d
潮湿,2,2,-1,e
醉,2,2,0,d
看起来,2,2,0,d
找到,2,2,0,d
均,2,2,0,d
逛街,2,2,0,d
另外,2,2,0,d
要赞,2,2,1,g
满意哦,2,2,1,g
邻里,2,2,0,c
帮,2,2,0,d
常来,2,2,1,b
还点,2,2,0,d
准备,2,2,0,d
好友,2,2,0,c
门,2,2,0,d
星座,2,2,0,d
通用,2,2,0,d
意识,2,2,0,d
心,2,2,0,d
好喝,2,2,1,g
泾路,2,2,0,d
辅料,2,2,0,t
清新,2,2,1,g
店长,2,2,0,s
杂乱,2,2,-1,e
简直,2,2,0,d
油,2,2,0,d
就算,2,2,0,d
来的,2,2,0,d
先点,2,2,0,d
及,2,2,0,d
口香糖,2,2,0,d
油烟,2,2,-1,e
多人,2,2,0,e
来得,2,2,0,d
菜价,2,2,0,p
店好,2,2,0,d
卫生间,2,2,0,e
飞,2,2,0,d
乱飞,2,2,-1,e
站,2,2,0,d
难得,2,2,0,d
鱼嫩,2,2,1,t
很慢,2,2,-1,s
谈心,2,2,0,c
片鱼,2,2,0,d
不吃,2,2,0,d
臭水沟,2,2,-2,e
鱼活,2,2,1,t
选小,2,2,0,d
小资,2,2,0,c
鲢鱼,2,2,0,d
上桌,2,2,0,d
不然,2,2,0,d
店上,2,2,0,d
刺,2,2,0,d
保持,2,2,0,d
好差,2,2,-2,g
黏糊糊,2,2,-1,g
绿宝,2,2,0,d
完美,2,2,3,g
打,2,2,0,d
态,2,2,0,d
吃个,2,2,0,d
额,2,2,0,d
孕妇,2,2,0,c
或者,2,2,0,d
不太大,2,2,0,d
收拾,2,2,0,d
冷淡,2,2,-1,s
设施,2,2,0,d
开发票,2,2,0,s
亲自,2,2,0,d
饱饱,2,2,0,d
档次,2,2,0,d
来讲,2,2,0,d
再次,2,2,1,b
带上,2,2,0,d
粗,2,2,0,d
很长,2,2,1,g
辣味,2,2,0,t
配,2,2,0,d
合口味,2,2,1,t
再接再厉,2,2,1,g
好好,2,2,0,d
餐前,2,2,0,d
不惯,2,2,0,d
好重,2,2,0,d
进店,2,2,0,d
卫生状况,2,2,0,e
想来,2,2,0,d
一叫,2,2,0,d
前台,2,2,0,s
点个,2,2,0,d
氛围,2,2,0,s
条鱼,2,2,0,d
闻,2,2,0,d
餐巾纸,2,2,0,d
太暗,2,2,-1,e
赶脚,2,2,0,d
加上,2,2,0,d
高大,2,2,0,d
大热天,2,2,0,d
条斤,2,2,0,d
意思,2,2,0,d
水平,2,2,0,d
专业,2,2,1,s
片薄,2,2,0,d
咖喱,2,2,0,d
楼层,2,2,0,d
汤酸,2,2,0,t
已,2,2,0,d
天地,2,2,0,d
收银员,2,2,0,s
会员,2,2,0,c
张券,2,2,0,d
条,2,2,0,d
酸够,2,2,1,t
速度快,2,2,1,s
烟,2,2,0,d
打折,2,2,0,d
业,2,2,0,d
鱼有,2,2,0,d
盘子,2,2,0,d
泡菜,2,2,0,d
首选,2,2,0,d
商家,2,2,0,d
那家店,2,2,0,d
唯独,2,2,0,d
拽,3,2,-1,s
蘸,2,2,0,d
酱,2,2,0,d
灯,2,2,0,d
女儿,3,2,0,d
回答,2,2,0,d
摔倒,2,2,-1,e
凉菜,2,2,0,d
简约,2,2,1,g
便利,2,2,1,e
取号,2,2,0,s
买,2,2,0,d
牛,2,2,0,d
圆桌,2,2,0,d
处于,2,2,0,d
晚要,2,2,0,d
胜,2,2,0,d
吼,2,2,0,d
口渴,2,2,0,d
家庭,2,2,0,c
鲢,2,2,0,d
中心,2,2,0,d
对折,2,2,0,d
没开,2,2,0,d
服务满意,2,2,1,s
不爽,2,2,-1,s
下午茶,2,2,0,c
骨头,2,2,0,d
不佳,2,2,-1,g
弄弄,2,2,0,d
短,2,2,-1,t
坑,2,2,-2,g
作为,2,2,0,d
爹,2,2,0,d
门店,2,2,0,d
恶心,2,2,-2,g
营业,2,2,0,d
食品,2,2,0,d
吃了,2,2,0,d
记得,2,2,0,d
老客户,2,2,1,b
扣分,2,2,-1,g
女生,2,2,0,c
而言,4,2,0,d
白,2,2,0,d
气氛,2,2,0,c
至今,2,2,0,d
开在,2,2,0,d
晚餐,2,2,0,c
太滑,2,2,0,d
黑,2,2,0,d
亲切,2,2,1,s
习惯,2,2,0,d
滑腻,2,2,0,d
小吃店,3,2,0,d
营养,2,2,0,t
